candidate_name,district,constituency,party,votes_total,vote_share_pct,position,gender,age,assets,liabilities,criminal_cases
,,Royapuram,,,,6,,,,,
,,Harbour,,,,1,,,,,
,,Harbour,,,,7,,,,,
,,Harbour,,,,2,,,,,
,,Harbour,,,,4,,,,,
,,Harbour,,,,6,,,,,
,,Harbour,,,,3,,,,,
,,Harbour,,,,22,,,,,
,,Harbour,,,,19,,,,,
,,Harbour,,,,11,,,,,
,,Harbour,,,,13,,,,,
,,Harbour,,,,21,,,,,
,,Harbour,,,,15,,,,,
,,Harbour,,,,25,,,,,
,,Harbour,,,,14,,,,,
,,Harbour,,,,24,,,,,
,,Harbour,,,,10,,,,,
,,Harbour,,,,8,,,,,
,,Harbour,,,,16,,,,,
,,Harbour,,,,12,,,,,
,,Harbour,,,,23,,,,,
,,Harbour,,,,28,,,,,
,,Harbour,,,,18,,,,,
,,Harbour,,,,29,,,,,
,,Harbour,,,,26,,,,,
,,Harbour,,,,27,,,,,
,,Harbour,,,,17,,,,,
,,Harbour,,,,9,,,,,
,,Harbour,,,,20,,,,,
,,Harbour,,,,5,,,,,
,,Chepauk-Thiruvallikeni,,,,1,,,,,
,,Chepauk-Thiruvallikeni,,,,7,,,,,
,,Chepauk-Thiruvallikeni,,,,15,,,,,
,,Chepauk-Thiruvallikeni,,,,16,,,,,
,,Chepauk-Thiruvallikeni,,,,6,,,,,
,,Chepauk-Thiruvallikeni,,,,2,,,,,
,,Chepauk-Thiruvallikeni,,,,9,,,,,
,,Chepauk-Thiruvallikeni,,,,4,,,,,
,,Chepauk-Thiruvallikeni,,,,13,,,,,
,,Chepauk-Thiruvallikeni,,,,3,,,,,
,,Chepauk-Thiruvallikeni,,,,17,,,,,
,,Chepauk-Thiruvallikeni,,,,19,,,,,
,,Chepauk-Thiruvallikeni,,,,25,,,,,
,,Chepauk-Thiruvallikeni,,,,20,,,,,
,,Chepauk-Thiruvallikeni,,,,12,,,,,
,,Chepauk-Thiruvallikeni,,,,11,,,,,
,,Chepauk-Thiruvallikeni,,,,10,,,,,
,,Chepauk-Thiruvallikeni,,,,23,,,,,
,,Chepauk-Thiruvallikeni,,,,14,,,,,
,,Chepauk-Thiruvallikeni,,,,26,,,,,
,,Chepauk-Thiruvallikeni,,,,21,,,,,
,,Chepauk-Thiruvallikeni,,,,22,,,,,
,,Chepauk-Thiruvallikeni,,,,24,,,,,
,,Chepauk-Thiruvallikeni,,,,27,,,,,
,,Chepauk-Thiruvallikeni,,,,18,,,,,
,,Chepauk-Thiruvallikeni,,,,8,,,,,
,,Chepauk-Thiruvallikeni,,,,5,,,,,
,,Thousand Lights,,,,1,,,,,
,,Thousand Lights,,,,2,,,,,
,,Thousand Lights,,,,7,,,,,
,,Thousand Lights,,,,3,,,,,
,,Thousand Lights,,,,11,,,,,
,,Thousand Lights,,,,17,,,,,
,,Thousand Lights,,,,6,,,,,
,,Thousand Lights,,,,4,,,,,
,,Thousand Lights,,,,12,,,,,
,,Thousand Lights,,,,13,,,,,
,,Thousand Lights,,,,21,,,,,
,,Thousand Lights,,,,20,,,,,
,,Thousand Lights,,,,16,,,,,
,,Thousand Lights,,,,18,,,,,
,,Thousand Lights,,,,14,,,,,
,,Thousand Lights,,,,10,,,,,
,,Thousand Lights,,,,9,,,,,
,,Thousand Lights,,,,8,,,,,
,,Thousand Lights,,,,19,,,,,
,,Thousand Lights,,,,15,,,,,
,,Thousand Lights,,,,5,,,,,
,,Anna Nagar,,,,2,,,,,
,,Anna Nagar,,,,1,,,,,
,,Anna Nagar,,,,8,,,,,
,,Anna Nagar,,,,16,,,,,
,,Anna Nagar,,,,6,,,,,
,,Anna Nagar,,,,4,,,,,
,,Anna Nagar,,,,18,,,,,
,,Anna Nagar,,,,20,,,,,
,,Anna Nagar,,,,15,,,,,
,,Anna Nagar,,,,7,,,,,
,,Anna Nagar,,,,3,,,,,
,,Anna Nagar,,,,19,,,,,
,,Anna Nagar,,,,21,,,,,
,,Anna Nagar,,,,14,,,,,
,,Anna Nagar,,,,17,,,,,
,,Anna Nagar,,,,9,,,,,
,,Anna Nagar,,,,11,,,,,
,,Anna Nagar,,,,12,,,,,
,,Anna Nagar,,,,13,,,,,
,,Anna Nagar,,,,23,,,,,
,,Anna Nagar,,,,22,,,,,
,,Anna Nagar,,,,24,,,,,
,,Anna Nagar,,,,10,,,,,
,,Anna Nagar,,,,5,,,,,
,,Virugampakkam,,,,6,,,,,
,,Virugampakkam,,,,1,,,,,
,,Virugampakkam,,,,2,,,,,
,,Virugampakkam,,,,10,,,,,
,,Virugampakkam,,,,3,,,,,
,,Virugampakkam,,,,14,,,,,
,,Virugampakkam,,,,26,,,,,
,,Virugampakkam,,,,20,,,,,
,,Virugampakkam,,,,15,,,,,
,,Virugampakkam,,,,17,,,,,
,,Virugampakkam,,,,4,,,,,
,,Virugampakkam,,,,18,,,,,
,,Virugampakkam,,,,25,,,,,
,,Virugampakkam,,,,16,,,,,
,,Virugampakkam,,,,5,,,,,
,,Virugampakkam,,,,12,,,,,
,,Virugampakkam,,,,19,,,,,
,,Virugampakkam,,,,9,,,,,
,,Virugampakkam,,,,13,,,,,
,,Virugampakkam,,,,23,,,,,
,,Virugampakkam,,,,21,,,,,
,,Virugampakkam,,,,28,,,,,
,,Virugampakkam,,,,24,,,,,
,,Virugampakkam,,,,22,,,,,
,,Virugampakkam,,,,27,,,,,
,,Virugampakkam,,,,11,,,,,
,,Virugampakkam,,,,8,,,,,
,,Virugampakkam,,,,7,,,,,
,,Saidapet,,,,7,,,,,
,,Saidapet,,,,1,,,,,
,,Saidapet,,,,2,,,,,
,,Saidapet,,,,8,,,,,
,,Saidapet,,,,15,,,,,
,,Saidapet,,,,3,,,,,
,,Saidapet,,,,4,,,,,
,,Saidapet,,,,5,,,,,
,,Saidapet,,,,21,,,,,
,,Saidapet,,,,26,,,,,
,,Saidapet,,,,31,,,,,
,,Saidapet,,,,18,,,,,
,,Saidapet,,,,28,,,,,
,,Saidapet,,,,11,,,,,
,,Saidapet,,,,17,,,,,
,,Saidapet,,,,13,,,,,
,,Saidapet,,,,14,,,,,
,,Saidapet,,,,9,,,,,
,,Saidapet,,,,10,,,,,
,,Saidapet,,,,30,,,,,
